#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	55.0789	91082	0.3651	100.0000	91082	16710	16691	0.3752	56	17.48
scaffold_2	58.9667	66015	0.3699	100.0000	66015	12989	13005	0.3829	59	21.19
scaffold_3	58.5256	62364	0.3716	100.0000	62364	11891	11984	0.3831	59	18.50
scaffold_4	55.7076	62277	0.3626	100.0000	62277	11412	11489	0.3746	56	19.74
scaffold_5	60.5512	59595	0.3753	100.0000	59595	11996	11908	0.3860	61	19.56
scaffold_6	58.8062	59063	0.3728	100.0000	59063	11549	11525	0.3833	59	19.91
scaffold_7	57.0003	58507	0.3578	100.0000	58507	11087	11015	0.3680	57	19.44
scaffold_8	58.3707	57336	0.3669	100.0000	57336	11198	11131	0.3766	59	18.64
scaffold_9	59.8686	56789	0.3746	100.0000	56789	11055	11086	0.3887	59	25.08
scaffold_10	56.0810	56446	0.3745	100.0000	56446	10623	10484	0.3875	56	21.25
scaffold_11	59.2685	55779	0.3780	100.0000	55779	10891	10899	0.3880	61	18.38
scaffold_12	56.5294	55371	0.3633	100.0000	55371	10344	10288	0.3747	58	19.61
scaffold_13	65.7376	54584	0.3714	100.0000	54584	12743	11196	0.3839	58	139.26
scaffold_14	60.4181	54299	0.3703	100.0000	54299	10599	10599	0.3845	62	21.31
scaffold_15	55.7516	53435	0.3678	100.0000	53435	9855	9948	0.3803	57	20.09
scaffold_16	61.4095	53347	0.3760	100.0000	53347	10717	10725	0.3876	61	19.13
scaffold_17	56.3917	52654	0.3655	100.0000	52654	9721	9718	0.3754	57	18.70
scaffold_18	61.8607	52378	0.3662	100.0000	52378	10375	10404	0.3756	62	19.23
scaffold_19	56.6117	52378	0.3632	99.9790	52367	9892	9857	0.3746	57	21.94
scaffold_20	62.9836	51921	0.3721	100.0000	51921	10679	10722	0.3799	64	17.86
scaffold_21	71.0025	51781	0.3683	100.0000	51781	11476	12584	0.3724	58	219.45
scaffold_22	61.7577	51541	0.3630	100.0000	51541	10455	10372	0.3750	58	39.00
scaffold_23	52.5568	50159	0.3677	99.8465	50082	8763	8757	0.3833	54	19.62
scaffold_24	60.3119	50142	0.3611	100.0000	50142	10020	10070	0.3702	60	18.54
scaffold_25	57.0692	49942	0.3681	100.0000	49942	9455	9464	0.3782	58	19.21
scaffold_26	57.7225	49678	0.3723	100.0000	49678	9447	9460	0.3852	59	20.43
scaffold_27	55.3364	48812	0.3683	100.0000	48812	8967	9049	0.3772	57	18.59
scaffold_28	58.4819	48619	0.3660	100.0000	48619	9455	9458	0.3791	61	19.79
scaffold_29	64.7780	48291	0.3831	100.0000	48291	10410	10441	0.3949	64	22.57
scaffold_30	56.8067	48224	0.3670	100.0000	48224	9099	9150	0.3808	58	21.28
scaffold_31	61.7579	48120	0.3704	100.0000	48120	10004	10035	0.3841	59	71.76
scaffold_32	52.9516	47880	0.3573	100.0000	47880	8393	8433	0.3701	54	20.22
scaffold_33	62.6093	46923	0.3767	100.0000	46923	9787	9796	0.3856	64	18.97
scaffold_34	55.2869	46629	0.3674	100.0000	46629	8546	8486	0.3803	57	18.41
scaffold_35	59.2008	46500	0.3750	100.0000	46500	9132	9179	0.3852	60	19.00
scaffold_36	58.2570	46139	0.3709	100.0000	46139	8878	8934	0.3825	59	19.09
scaffold_37	58.1315	46048	0.3704	100.0000	46048	8824	8775	0.3819	58	18.58
scaffold_38	57.8445	45869	0.3706	100.0000	45869	8656	8684	0.3842	57	19.78
scaffold_39	61.1270	45205	0.3710	100.0000	45205	9143	9135	0.3803	62	19.86
scaffold_40	54.3447	45201	0.3574	100.0000	45201	8152	8196	0.3689	54	17.85
scaffold_41	55.4245	45157	0.3636	100.0000	45157	8319	8310	0.3770	54	22.05
