#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	75.1001	128063	0.4144	100.0000	128063	31808	31784	0.4235	76	20.15
scaffold_2	77.4230	119802	0.3973	100.0000	119802	31100	30504	0.4083	76	48.99
scaffold_3	76.1422	114693	0.4105	100.0000	114693	28771	28808	0.4189	78	20.88
scaffold_4	79.4447	113314	0.4029	100.0000	113314	29309	29590	0.4110	77	47.58
scaffold_5	79.1275	108662	0.3948	100.0000	108662	28126	28077	0.4033	80	23.73
scaffold_6	80.5071	107650	0.4063	100.0000	107650	28670	28798	0.4138	80	24.06
scaffold_7	74.9834	103767	0.4091	100.0000	103767	25836	25854	0.4215	75	22.60
scaffold_8	81.9635	98067	0.4044	100.0000	98067	26605	26284	0.4178	78	66.51
scaffold_9	82.1192	95618	0.4053	100.0000	95618	25957	25894	0.4179	79	37.09
scaffold_10	77.8282	95345	0.4074	100.0000	95345	24338	24275	0.4176	80	22.78
scaffold_11	78.9958	93146	0.4197	100.0000	93146	24250	24191	0.4263	80	19.61
scaffold_12	78.7902	91029	0.4291	100.0000	91029	23760	23706	0.4401	80	21.97
scaffold_13	83.8201	90560	0.4027	100.0000	90560	24883	24818	0.4092	81	42.27
scaffold_14	78.5167	90140	0.4096	100.0000	90140	23485	23517	0.4182	79	20.82
scaffold_15	77.3625	87708	0.4029	100.0000	87708	22598	22581	0.4127	78	22.65
scaffold_16	80.2983	86516	0.4283	100.0000	86516	23206	23115	0.4372	82	21.88
scaffold_17	77.8780	85996	0.4088	100.0000	85996	22124	22136	0.4165	79	20.19
scaffold_18	75.0341	84256	0.4125	100.0000	84256	20874	20955	0.4249	76	23.67
scaffold_19	78.6322	84107	0.4055	100.0000	84107	21829	22010	0.4143	77	23.77
scaffold_20	76.2769	83786	0.4043	100.0000	83786	21313	21296	0.4147	75	26.01
scaffold_21	78.5907	83434	0.4160	100.0000	83434	21765	21762	0.4247	78	28.04
scaffold_22	77.9528	82194	0.4044	100.0000	82194	21266	21201	0.4141	79	22.13
scaffold_23	82.3640	80551	0.4050	100.0000	80551	21994	22131	0.4196	74	89.74
scaffold_24	74.8560	80483	0.3941	100.0000	80483	19954	19971	0.4029	76	20.32
scaffold_25	77.2473	80472	0.4066	100.0000	80472	20565	20566	0.4129	77	18.57
scaffold_26	74.5844	80464	0.4094	99.9391	80415	20042	19973	0.4176	75	20.78
scaffold_27	76.4751	80388	0.4177	100.0000	80388	20218	20311	0.4251	78	19.08
scaffold_28	76.6652	80313	0.4148	100.0000	80313	20454	20434	0.4257	78	23.52
scaffold_29	80.5961	79502	0.3926	100.0000	79502	21278	21288	0.4003	81	22.56
scaffold_30	75.7824	78179	0.4141	100.0000	78179	19533	19442	0.4230	76	20.36
scaffold_31	78.4214	77976	0.4043	100.0000	77976	19864	19953	0.4116	79	20.63
scaffold_32	77.5914	77787	0.4250	100.0000	77787	20074	20172	0.4390	78	23.12
scaffold_33	75.8062	77394	0.3991	100.0000	77394	19395	19342	0.4077	76	22.63
scaffold_34	76.2895	77207	0.4126	100.0000	77207	19603	19519	0.4183	75	22.02
scaffold_35	78.8002	76880	0.4093	100.0000	76880	20056	20014	0.4151	79	18.87
scaffold_36	79.1582	76690	0.3949	100.0000	76690	20201	20249	0.4028	78	33.02
scaffold_37	72.7944	76551	0.4066	100.0000	76551	18468	18464	0.4158	73	21.00
scaffold_38	76.1883	76421	0.4284	100.0000	76421	19447	19372	0.4369	78	18.97
scaffold_39	75.6121	75714	0.4175	100.0000	75714	18924	18878	0.4270	76	19.81
scaffold_40	80.0158	75712	0.4376	100.0000	75712	20118	20185	0.4464	82	21.99
scaffold_41	74.7461	74798	0.4091	100.0000	74798	18611	18669	0.4189	76	21.03
scaffold_42	74.9618	74624	0.4036	100.0000	74624	18542	18535	0.4128	77	21.84
scaffold_43	84.6994	74272	0.4263	100.0000	74272	20893	20919	0.4302	84	30.49
scaffold_44	77.3948	72348	0.4037	100.0000	72348	18462	18590	0.4112	78	24.59
scaffold_45	80.4710	71784	0.4190	100.0000	71784	19177	19306	0.4291	82	23.66
scaffold_46	74.6804	71335	0.3942	100.0000	71335	17524	17479	0.4031	75	23.00
scaffold_47	78.0697	71127	0.4148	100.0000	71127	18088	18100	0.4250	78	19.39
scaffold_48	100.4757	71016	0.4165	100.0000	71016	19184	19309	0.4250	95	79.21
