#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	79.0277	72843	0.3656	100.0000	72843	19099	19145	0.3826	81	31.80
scaffold_2	89.9334	63787	0.3765	100.0000	63787	18896	18930	0.3896	94	32.03
scaffold_3	71.8235	63119	0.3586	100.0000	63119	15003	14985	0.3742	74	29.45
scaffold_4	82.0737	58641	0.3681	100.0000	58641	15963	15909	0.3805	85	29.19
scaffold_5	75.1881	56141	0.3584	100.0000	56141	14043	14061	0.3714	78	27.84
scaffold_6	76.7149	55346	0.3684	100.0000	55346	14135	14120	0.3880	80	31.40
scaffold_7	85.8967	53824	0.3704	100.0000	53824	15248	15315	0.3861	89	31.35
scaffold_8	80.2650	51828	0.3668	100.0000	51828	13576	13573	0.3794	85	30.51
scaffold_9	76.8494	51744	0.3634	100.0000	51744	13194	13254	0.3755	80	27.87
scaffold_10	79.7408	50518	0.3727	100.0000	50518	13449	13388	0.3884	83	30.50
scaffold_11	75.4260	49937	0.3536	100.0000	49937	12528	12537	0.3682	76	29.43
scaffold_12	72.5292	49348	0.3668	100.0000	49348	11985	11885	0.3798	73	26.67
scaffold_13	80.4490	48655	0.3652	100.0000	48655	12934	12858	0.3792	84	30.73
scaffold_14	78.6765	48569	0.3704	100.0000	48569	12670	12650	0.3884	79	32.64
scaffold_15	82.5579	48049	0.3750	100.0000	48049	13210	13217	0.3900	85	30.96
scaffold_16	85.6014	47922	0.3753	100.0000	47922	13503	13581	0.3890	90	30.89
scaffold_17	76.9657	47609	0.3614	100.0000	47609	12196	12239	0.3750	81	28.87
scaffold_18	84.6621	47167	0.3765	100.0000	47167	13264	13311	0.3960	89	33.05
scaffold_19	82.5117	46156	0.3710	100.0000	46156	12592	12598	0.3842	84	33.53
scaffold_20	88.3132	45320	0.3777	100.0000	45320	13304	13387	0.3907	91	30.54
scaffold_21	78.6137	45176	0.3581	100.0000	45176	11679	11721	0.3722	80	28.46
scaffold_22	78.0098	44518	0.3677	100.0000	44518	11551	11601	0.3832	80	28.62
scaffold_23	80.0323	44289	0.3675	100.0000	44289	11743	11722	0.3825	83	29.33
scaffold_24	79.6255	44062	0.3685	100.0000	44062	11577	11623	0.3816	82	28.28
scaffold_25	70.2923	43747	0.3551	100.0000	43747	10180	10260	0.3708	70	29.59
scaffold_26	72.4932	43029	0.3536	100.0000	43029	10335	10282	0.3668	74	27.32
scaffold_27	85.1431	42735	0.3741	100.0000	42735	12161	12102	0.3860	84	29.12
scaffold_28	77.1400	42696	0.3647	100.0000	42696	10953	11006	0.3776	78	26.61
scaffold_29	78.3258	42537	0.3632	100.0000	42537	11111	11093	0.3764	80	28.98
scaffold_30	69.8792	42468	0.3514	100.0000	42468	9884	9829	0.3659	71	27.80
scaffold_31	81.4692	42008	0.3693	100.0000	42008	11296	11219	0.3785	85	26.11
scaffold_32	85.6517	41744	0.3691	100.0000	41744	11840	11890	0.3805	82	39.08
scaffold_33	79.4091	41479	0.3622	100.0000	41479	10790	10784	0.3768	80	27.99
scaffold_34	79.3898	41280	0.3605	100.0000	41280	10887	10911	0.3742	84	29.16
scaffold_35	77.3704	40770	0.3627	99.8994	40729	10504	10522	0.3777	82	32.54
scaffold_36	79.1922	40582	0.3615	100.0000	40582	10708	10722	0.3754	81	29.79
scaffold_37	81.5466	40516	0.3790	100.0000	40516	10984	10983	0.3898	85	24.05
scaffold_38	80.1265	40436	0.3690	100.0000	40436	10667	10682	0.3843	81	29.57
scaffold_39	71.5528	39519	0.3545	100.0000	39519	9407	9450	0.3721	73	31.65
scaffold_40	70.7319	39287	0.3502	100.0000	39287	9164	9165	0.3645	73	27.96
scaffold_41	86.5070	38930	0.3764	100.0000	38930	11230	11211	0.3877	88	26.23
scaffold_42	83.0439	38880	0.3696	100.0000	38880	10725	10684	0.3790	85	25.46
scaffold_43	77.8355	38849	0.3591	100.0000	38849	10061	9983	0.3706	81	30.59
scaffold_44	78.8495	38730	0.3630	100.0000	38730	10130	10160	0.3713	81	28.57
scaffold_45	120.5887	38612	0.3757	99.9974	38611	15100	15601	0.3999	82	288.60
scaffold_46	78.8056	37801	0.3664	100.0000	37801	9833	9776	0.3823	80	28.81
scaffold_47	78.8295	37653	0.3715	100.0000	37653	9722	9748	0.3854	79	29.79
scaffold_48	78.0140	37603	0.3695	100.0000	37603	9641	9661	0.3861	81	30.81
scaffold_49	74.6993	37457	0.3607	100.0000	37457	9352	9284	0.3735	77	28.00
scaffold_50	84.2976	37232	0.3783	100.0000	37232	10482	10446	0.3924	89	30.50
scaffold_51	80.8503	37160	0.3704	100.0000	37160	9999	10032	0.3825	82	28.97
scaffold_52	75.0515	37120	0.3606	100.0000	37120	9278	9301	0.3758	75	29.93
scaffold_53	80.0712	36864	0.3661	100.0000	36864	9823	9859	0.3793	85	28.74
scaffold_54	75.6056	35968	0.3685	100.0000	35968	9062	9045	0.3810	78	25.25
scaffold_55	84.6475	35950	0.3787	100.0000	35950	10065	10061	0.3919	88	28.37
scaffold_56	79.9694	35945	0.3613	100.0000	35945	9468	9407	0.3772	84	31.02
