#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	91.4681	100144	0.3452	100.0000	100144	30178	30022	0.3736	82	219.44
scaffold_2	73.9609	91106	0.3393	100.0000	91106	22433	22322	0.3579	74	35.17
scaffold_3	75.7356	88466	0.3401	100.0000	88466	22125	22182	0.3594	75	35.47
scaffold_4	84.5092	84230	0.3484	100.0000	84230	23662	23510	0.3666	84	37.30
scaffold_5	75.1378	79695	0.3420	100.0000	79695	19426	19447	0.3633	73	37.28
scaffold_6	73.1967	78753	0.3345	100.0000	78753	19115	19136	0.3478	73	32.15
scaffold_7	84.3286	74581	0.3440	100.0000	74581	20698	20708	0.3631	84	40.38
scaffold_8	79.3286	73356	0.3472	100.0000	73356	19226	19263	0.3648	84	32.88
scaffold_9	81.4374	73012	0.3397	100.0000	73012	19741	19693	0.3595	83	39.52
scaffold_10	85.0692	72999	0.3465	100.0000	72999	20547	20535	0.3632	89	38.27
scaffold_11	88.3709	68481	0.3490	100.0000	68481	20311	20171	0.3686	89	69.08
scaffold_12	92.3246	67822	0.3475	99.9705	67802	20548	20519	0.3635	94	40.33
scaffold_13	74.6177	64810	0.3316	100.0000	64810	16026	16009	0.3512	73	37.46
scaffold_14	76.7988	64807	0.3388	100.0000	64807	16200	16315	0.3592	74	34.84
scaffold_15	83.0123	64016	0.3474	100.0000	64016	17656	17673	0.3690	81	40.10
scaffold_16	74.5270	59998	0.3391	100.0000	59998	14835	14795	0.3556	73	34.02
scaffold_17	79.6341	59404	0.3488	100.0000	59404	15678	15688	0.3687	79	39.22
scaffold_18	80.3120	59370	0.3447	100.0000	59370	15766	15662	0.3625	81	36.55
scaffold_19	67.9319	59134	0.3260	100.0000	59134	13331	13406	0.3407	69	32.06
scaffold_20	65.3268	58685	0.3314	100.0000	58685	12322	12324	0.3540	62	34.34
scaffold_21	81.0360	58433	0.3417	100.0000	58433	15679	15632	0.3593	79	37.32
scaffold_22	83.8277	58428	0.3498	100.0000	58428	15925	15927	0.3661	85	36.84
scaffold_23	73.3039	57451	0.3353	100.0000	57451	13877	13925	0.3517	73	31.82
