#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	74.5152	131003	0.4050	100.0000	131003	32295	32118	0.4129	76	17.49
scaffold_2	78.1232	114902	0.4104	100.0000	114902	28998	28872	0.4169	78	17.23
scaffold_3	78.9988	105080	0.4084	100.0000	105080	27500	27191	0.4165	79	39.17
scaffold_4	78.7476	103804	0.4196	100.0000	103804	26620	26666	0.4272	81	19.88
scaffold_5	77.6402	96475	0.4117	100.0000	96475	24573	24669	0.4185	78	26.00
scaffold_6	78.7027	95709	0.4195	100.0000	95709	24255	24337	0.4272	79	21.67
scaffold_7	80.4323	94726	0.4120	100.0000	94726	25020	25062	0.4193	80	24.34
scaffold_8	79.8478	93312	0.4144	100.0000	93312	24293	24363	0.4198	81	16.99
scaffold_9	76.7079	90920	0.4058	100.0000	90920	22875	22773	0.4143	78	19.13
scaffold_10	78.9533	89101	0.4198	100.0000	89101	23171	23150	0.4282	80	25.09
scaffold_11	78.1427	87556	0.4232	100.0000	87556	22598	22666	0.4293	79	17.46
scaffold_12	77.3464	85333	0.4175	100.0000	85333	21876	21868	0.4253	79	22.39
scaffold_13	73.9249	85133	0.4089	100.0000	85133	20592	20621	0.4162	75	17.29
scaffold_14	77.1606	84805	0.4039	100.0000	84805	21169	21272	0.4126	78	19.21
scaffold_15	77.0738	83869	0.4158	100.0000	83869	21415	21400	0.4224	78	17.82
scaffold_16	77.9133	79575	0.4051	100.0000	79575	20189	20084	0.4120	79	18.97
scaffold_17	80.8082	77976	0.4067	100.0000	77976	20413	20822	0.4111	78	71.20
scaffold_18	76.4963	77213	0.4063	100.0000	77213	19350	19322	0.4142	77	18.68
scaffold_19	77.0051	76193	0.4121	100.0000	76193	19112	19248	0.4207	80	19.43
scaffold_20	77.8583	75039	0.4129	100.0000	75039	19105	19183	0.4198	79	19.58
scaffold_21	76.4868	74395	0.4136	100.0000	74395	18801	18798	0.4228	78	19.90
scaffold_22	77.0932	74094	0.4101	100.0000	74094	18928	18888	0.4175	79	17.89
scaffold_23	89.0026	73817	0.3976	100.0000	73817	21321	21396	0.4128	79	58.54
scaffold_24	75.9820	73515	0.4095	100.0000	73515	18546	18438	0.4180	77	18.27
scaffold_25	74.1245	73009	0.4110	99.9096	72943	17901	17965	0.4185	77	18.45
scaffold_26	101.6701	71922	0.3943	100.0000	71922	20084	19601	0.3948	91	97.00
scaffold_27	71.9918	70443	0.3988	100.0000	70443	16814	16855	0.4086	74	19.67
scaffold_28	80.2373	68913	0.4267	100.0000	68913	18227	18335	0.4344	81	18.20
scaffold_29	74.1187	68905	0.4178	100.0000	68905	16966	16932	0.4249	76	18.74
scaffold_30	74.9743	68632	0.4033	100.0000	68632	17036	16921	0.4108	77	18.82
scaffold_31	74.2142	68165	0.4129	100.0000	68165	16554	16585	0.4205	75	18.06
scaffold_32	72.9427	68057	0.3944	100.0000	68057	16562	16549	0.4025	74	18.87
scaffold_33	76.6069	67872	0.4091	100.0000	67872	17062	17046	0.4177	78	19.64
scaffold_34	73.7837	66894	0.4070	100.0000	66894	16217	16113	0.4161	75	19.85
scaffold_35	73.4913	66598	0.3995	100.0000	66598	16176	16125	0.4063	75	18.20
scaffold_36	76.9223	66594	0.4026	100.0000	66594	17081	17073	0.4097	79	18.67
scaffold_37	77.4129	66113	0.4185	100.0000	66113	16786	16921	0.4254	78	17.37
scaffold_38	77.0689	65842	0.4061	100.0000	65842	16698	16676	0.4143	78	18.78
scaffold_39	76.9018	65792	0.4029	99.9529	65761	16709	16694	0.4104	79	19.75
scaffold_40	76.7478	65510	0.4046	100.0000	65510	16635	16691	0.4102	78	16.20
scaffold_41	83.5789	65250	0.4253	100.0000	65250	17841	17803	0.4307	84	20.51
scaffold_42	81.5906	65146	0.4102	100.0000	65146	17356	16992	0.4142	80	35.08
scaffold_43	75.7694	64939	0.4106	100.0000	64939	16132	16102	0.4204	78	21.09
scaffold_44	84.6204	64502	0.4169	100.0000	64502	17726	18144	0.4164	79	95.10
scaffold_45	79.0870	63997	0.4067	100.0000	63997	16689	16635	0.4123	80	16.58
scaffold_46	77.2693	63216	0.4075	100.0000	63216	16007	15988	0.4131	78	16.90
scaffold_47	74.4398	62951	0.4118	100.0000	62951	15628	15634	0.4198	75	17.87
scaffold_48	106.0238	62852	0.4146	100.0000	62852	21181	21813	0.4118	80	160.49
scaffold_49	80.5658	62642	0.4229	100.0000	62642	16583	16598	0.4278	81	16.17
scaffold_50	78.1975	62199	0.4224	100.0000	62199	15884	15870	0.4311	80	19.09
scaffold_51	75.4557	62157	0.4054	100.0000	62157	15204	15293	0.4129	76	17.40
scaffold_52	79.6299	62102	0.4146	100.0000	62102	16171	16192	0.4231	80	28.17
scaffold_53	76.6614	62056	0.4127	100.0000	62056	15711	15502	0.4224	77	31.31
scaffold_54	75.7092	61683	0.4005	100.0000	61683	15273	15299	0.4077	76	17.99
scaffold_55	78.9738	61535	0.4186	100.0000	61535	15923	15933	0.4266	79	18.96
scaffold_56	76.7326	61391	0.4184	100.0000	61391	15633	15573	0.4251	78	17.67
scaffold_57	76.3553	61380	0.4213	100.0000	61380	15566	15466	0.4298	78	17.71
scaffold_58	76.4919	61372	0.4177	100.0000	61372	15634	15506	0.4235	77	19.57
scaffold_59	75.7276	60515	0.4001	100.0000	60515	15041	14996	0.4071	77	18.86
scaffold_60	76.7968	60406	0.4051	100.0000	60406	15050	15004	0.4122	78	19.96
scaffold_61	80.6205	60178	0.4185	100.0000	60178	15763	15547	0.4232	80	40.85
scaffold_62	74.2486	59937	0.4103	100.0000	59937	14724	14575	0.4203	77	21.60
scaffold_63	75.3268	59402	0.3973	100.0000	59402	14845	14832	0.4047	76	18.42
scaffold_64	79.2987	58901	0.4324	100.0000	58901	15560	15422	0.4384	80	17.34
scaffold_65	76.9814	58364	0.4110	100.0000	58364	14660	14628	0.4186	79	17.86
scaffold_66	76.2934	57916	0.3994	100.0000	57916	14245	14289	0.4084	78	19.22
scaffold_67	81.0526	57664	0.4023	100.0000	57664	15409	15289	0.4028	75	70.19
scaffold_68	78.9593	57426	0.4200	100.0000	57426	15019	14914	0.4267	79	19.73
scaffold_69	74.9778	57330	0.4112	100.0000	57330	14299	14336	0.4205	78	20.67
scaffold_70	77.2100	56656	0.4062	100.0000	56656	14442	14314	0.4141	78	19.08
scaffold_71	73.9215	56558	0.4023	100.0000	56558	13861	13853	0.4098	74	18.02
scaffold_72	77.8086	55811	0.4171	100.0000	55811	14336	14453	0.4252	81	19.34
scaffold_73	76.0500	55618	0.4112	100.0000	55618	13986	14063	0.4199	77	18.07
scaffold_74	89.4641	55456	0.4075	100.0000	55456	16564	16103	0.4083	82	64.39
scaffold_75	81.4798	55110	0.4159	99.9946	55107	14673	14714	0.4259	80	36.19
scaffold_76	80.7013	55098	0.4090	100.0000	55098	14710	14665	0.4182	78	31.06
scaffold_77	73.9543	54920	0.4034	100.0000	54920	13539	13477	0.4127	76	18.45
scaffold_78	76.3672	54843	0.4122	100.0000	54843	13862	13771	0.4211	78	18.79
scaffold_79	75.0484	54060	0.3999	100.0000	54060	13436	13443	0.4064	75	21.18
scaffold_80	79.0108	53423	0.4118	100.0000	53423	13869	13836	0.4185	80	25.16
scaffold_81	73.5779	53261	0.4095	100.0000	53261	12910	12831	0.4190	75	18.26
scaffold_82	75.6912	53150	0.4171	100.0000	53150	13366	13331	0.4259	77	19.01
scaffold_83	81.4130	52866	0.4231	100.0000	52866	14139	14049	0.4291	84	17.85
scaffold_84	73.9951	52712	0.3994	100.0000	52712	13003	12949	0.4072	75	19.80
scaffold_85	77.5157	52357	0.4199	100.0000	52357	13403	13387	0.4269	80	17.56
scaffold_86	75.0153	52067	0.4074	100.0000	52067	12981	12830	0.4147	75	30.68
scaffold_87	77.5420	51793	0.4263	100.0000	51793	13210	13166	0.4332	79	18.24
