#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	77.6867	18699	0.3166	100.0000	18699	4851	4823	0.3347	79	41.21
scaffold_2	124.8745	16635	0.3387	100.0000	16635	6930	6895	0.3489	137	41.07
scaffold_3	67.5306	16084	0.2974	100.0000	16084	3614	3626	0.3146	68	35.06
scaffold_4	75.7211	13388	0.3126	100.0000	13388	3347	3393	0.3433	64	55.11
scaffold_5	83.2714	12784	0.3147	100.0000	12784	3505	3590	0.3361	88	50.74
scaffold_6	136.2152	12778	0.3382	100.0000	12778	5768	5757	0.3417	143	35.34
scaffold_7	119.6868	12735	0.3395	100.0000	12735	5066	5092	0.3531	130	49.08
scaffold_8	138.3416	12209	0.3530	100.0000	12209	5615	5647	0.3644	155	49.14
scaffold_9	93.9488	11864	0.3272	100.0000	11864	3722	3693	0.3477	104	46.51
scaffold_10	58.7631	11809	0.3007	100.0000	11809	2298	2329	0.3419	43	49.25
scaffold_11	577.3620	11569	0.3948	100.0000	11569	22141	22024	0.4638	378	650.67
scaffold_12	74.0867	11436	0.3017	100.0000	11436	2821	2828	0.3223	64	49.88
scaffold_13	102.2776	11194	0.3199	100.0000	11194	3759	3815	0.3331	104	46.97
scaffold_14	99.7824	11005	0.3071	100.0000	11005	3620	3623	0.3410	93	82.53
scaffold_15	104.1520	10567	0.3126	100.0000	10567	3679	3661	0.3236	105	39.45
scaffold_16	87.1749	10494	0.3188	100.0000	10494	3061	3038	0.3297	89	48.05
scaffold_17	111.0772	10465	0.3402	100.0000	10465	3816	3864	0.3568	122	50.19
scaffold_18	107.1201	10312	0.3332	100.0000	10312	3680	3676	0.3467	121	46.10
scaffold_19	1407.1749	10251	0.4079	100.0000	10251	47708	47181	0.3962	1246	983.99
scaffold_20	81.9850	10233	0.3002	100.0000	10233	2787	2807	0.3100	82	35.83
scaffold_21	52.8564	9915	0.2934	100.0000	9915	1744	1733	0.3169	39	38.28
scaffold_22	85.2916	9657	0.3045	100.0000	9657	2742	2719	0.3217	94	49.30
scaffold_23	241.7156	9602	0.3574	99.8959	9592	7843	7607	0.4030	163	243.97
scaffold_24	119.6975	9393	0.3429	100.0000	9393	3772	3721	0.3482	124	37.95
scaffold_25	73.0778	9336	0.3119	100.0000	9336	2268	2282	0.3367	83	43.19
scaffold_26	84.6045	9328	0.3133	100.0000	9328	2639	2625	0.3342	88	46.45
scaffold_27	75.4822	9302	0.3104	100.0000	9302	2339	2342	0.3282	74	46.38
scaffold_28	48.8656	9264	0.2984	99.9568	9260	1513	1506	0.3252	41	35.00
scaffold_29	62.2787	9229	0.2959	100.0000	9229	1915	1915	0.3274	52	47.39
scaffold_30	77.5630	9039	0.3153	100.0000	9039	2338	2334	0.3427	68	51.64
scaffold_31	69.3458	9000	0.2962	100.0000	9000	2070	2088	0.3068	70	32.96
scaffold_32	49.0072	8966	0.2924	100.0000	8966	1464	1464	0.3267	35	39.12
