#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	66.0597	197158	0.3676	100.0000	197158	42322	42243	0.3729	67	16.94
scaffold_2	67.3049	156029	0.3640	100.0000	156029	34602	34826	0.3688	66	30.42
scaffold_3	66.4736	151598	0.3730	100.0000	151598	32950	32838	0.3792	67	17.96
scaffold_4	66.5364	150650	0.3602	100.0000	150650	32879	32900	0.3651	67	17.82
scaffold_5	70.5556	147406	0.3745	100.0000	147406	33422	33511	0.3805	71	24.80
scaffold_6	67.4020	121404	0.3664	100.0000	121404	26375	26533	0.3709	69	16.47
scaffold_7	66.4769	120783	0.3676	100.0000	120783	26623	26602	0.3727	68	16.09
scaffold_8	66.3670	119243	0.3692	100.0000	119243	26112	26034	0.3741	68	16.64
scaffold_9	71.5914	117943	0.3827	100.0000	117943	28465	28436	0.3906	69	110.95
scaffold_10	67.6343	117243	0.3732	100.0000	117243	26125	26154	0.3775	69	15.98
scaffold_11	67.8746	116617	0.3772	100.0000	116617	26214	26202	0.3818	69	15.42
scaffold_12	71.0872	115413	0.3691	100.0000	115413	26910	26917	0.3740	72	16.23
scaffold_13	66.8528	115169	0.3679	100.0000	115169	25219	25253	0.3735	68	17.02
scaffold_14	75.4805	115113	0.3681	100.0000	115113	26174	26111	0.3738	73	31.37
scaffold_15	65.5492	114994	0.3662	100.0000	114994	24925	24844	0.3714	66	16.79
scaffold_16	66.5936	114486	0.3687	100.0000	114486	25002	24985	0.3738	68	15.66
scaffold_17	65.9850	111681	0.3672	100.0000	111681	24333	24328	0.3733	67	17.09
scaffold_18	64.9643	110748	0.3666	99.9892	110736	23615	23659	0.3728	66	16.95
scaffold_19	66.7263	105960	0.3748	100.0000	105960	23465	23454	0.3802	67	17.49
scaffold_20	66.2049	105950	0.3713	100.0000	105950	23139	23138	0.3768	67	16.71
scaffold_21	65.9872	105740	0.3714	100.0000	105740	23205	23212	0.3753	67	16.41
scaffold_22	66.6287	105387	0.3685	100.0000	105387	23143	23211	0.3737	68	16.71
scaffold_23	69.9309	102470	0.3684	100.0000	102470	23476	23353	0.3716	70	20.24
scaffold_24	65.9084	101786	0.3713	100.0000	101786	22235	22158	0.3771	66	16.57
scaffold_25	66.7899	101760	0.3705	100.0000	101760	22279	22281	0.3754	68	16.92
scaffold_26	66.0844	100885	0.3673	100.0000	100885	22161	22103	0.3718	66	15.57
scaffold_27	68.2986	100472	0.3718	100.0000	100472	22613	22564	0.3761	69	16.62
scaffold_28	68.5882	97947	0.3857	100.0000	97947	22013	22040	0.3911	69	15.76
scaffold_29	64.6673	97918	0.3623	100.0000	97918	21032	20978	0.3679	65	15.94
scaffold_30	78.7966	95653	0.3678	100.0000	95653	24988	24507	0.3675	69	149.65
scaffold_31	65.8531	95034	0.3677	100.0000	95034	20395	20489	0.3727	67	16.92
scaffold_32	66.3866	94900	0.3746	100.0000	94900	20624	20724	0.3810	68	17.32
scaffold_33	65.8272	94264	0.3694	100.0000	94264	20305	20314	0.3743	66	15.80
scaffold_34	68.0452	93722	0.3682	100.0000	93722	20858	20923	0.3727	69	16.12
scaffold_35	67.2494	92757	0.3673	100.0000	92757	20599	20588	0.3712	66	19.39
scaffold_36	67.0104	91975	0.3754	100.0000	91975	20626	20451	0.3809	68	16.32
scaffold_37	68.3791	90899	0.3703	100.0000	90899	20339	20250	0.3801	66	47.43
scaffold_38	68.2151	88002	0.3796	100.0000	88002	19822	19888	0.3850	69	18.08
scaffold_39	63.3478	87394	0.3645	100.0000	87394	18235	18301	0.3711	64	16.47
scaffold_40	65.3418	87184	0.3715	99.9220	87116	18738	18630	0.3760	66	16.12
scaffold_41	68.6686	86792	0.3678	100.0000	86792	19825	19741	0.3709	69	14.86
scaffold_42	64.8510	84244	0.3603	100.0000	84244	18022	17980	0.3676	66	18.59
scaffold_43	65.9505	83053	0.3702	100.0000	83053	17801	17782	0.3755	66	22.48
scaffold_44	69.0659	82756	0.3799	100.0000	82756	18884	18870	0.3831	70	14.31
scaffold_45	67.8739	81532	0.3734	100.0000	81532	17931	17870	0.3798	69	16.82
scaffold_46	65.7769	80358	0.3803	100.0000	80358	17667	17490	0.3872	66	16.70
scaffold_47	66.1214	79548	0.3707	100.0000	79548	17553	17498	0.3747	68	15.88
