#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	69.9752	40747	0.3477	100.0000	40747	9428	9506	0.3637	73	32.54
scaffold_2	76.9950	40639	0.3406	100.0000	40639	10370	10330	0.3592	77	38.85
scaffold_3	68.4449	32718	0.3332	100.0000	32718	7372	7350	0.3491	67	32.32
scaffold_4	72.5792	30002	0.3324	100.0000	30002	7215	7210	0.3433	72	31.88
scaffold_5	74.0424	29983	0.3331	100.0000	29983	7321	7353	0.3518	72	36.53
scaffold_6	96.3199	28849	0.3291	100.0000	28849	8998	9019	0.3433	74	140.08
scaffold_7	61.1206	28631	0.3195	100.0000	28631	5838	5792	0.3313	60	28.46
scaffold_8	73.8539	27935	0.3408	100.0000	27935	6838	6900	0.3643	71	38.87
scaffold_9	61.2222	27413	0.3254	100.0000	27413	5550	5523	0.3399	59	30.68
scaffold_10	67.1707	26777	0.3386	100.0000	26777	5969	5974	0.3515	67	29.34
scaffold_11	58.4054	25787	0.3129	100.0000	25787	4971	4936	0.3208	57	26.63
scaffold_12	64.8500	25528	0.3290	100.0000	25528	5435	5439	0.3448	62	29.85
scaffold_13	67.6040	25099	0.3256	100.0000	25099	5647	5665	0.3455	62	34.25
scaffold_14	71.6926	25035	0.3345	100.0000	25035	5964	6005	0.3524	66	37.62
scaffold_15	77.0581	25027	0.3349	100.0000	25027	6432	6387	0.3548	76	38.37
scaffold_16	73.2953	24720	0.3312	100.0000	24720	6115	5962	0.3506	75	38.42
scaffold_17	62.7573	24706	0.3208	100.0000	24706	5181	5154	0.3360	60	31.77
scaffold_18	73.6360	24542	0.3306	100.0000	24542	5385	5282	0.3455	72	31.73
scaffold_19	68.8702	24519	0.3235	100.0000	24519	5643	5617	0.3405	69	41.42
scaffold_20	68.0466	24272	0.3205	98.9865	24026	5432	5460	0.3288	70	33.31
scaffold_21	66.4612	23860	0.3177	100.0000	23860	5268	5294	0.3262	66	31.00
scaffold_22	67.9824	23680	0.3207	100.0000	23680	5364	5355	0.3384	66	35.24
scaffold_23	52.8038	23580	0.3223	100.0000	23580	4071	4091	0.3409	50	27.96
scaffold_24	52.5821	23562	0.3093	100.0000	23562	4118	4119	0.3300	49	32.16
scaffold_25	60.0838	23496	0.3263	100.0000	23496	4701	4707	0.3458	56	34.90
scaffold_26	56.3731	23223	0.3193	100.0000	23223	4368	4349	0.3320	56	26.65
scaffold_27	62.5366	23021	0.3229	100.0000	23021	4741	4781	0.3393	58	32.33
scaffold_28	61.2202	22883	0.3261	100.0000	22883	4668	4633	0.3453	56	34.25
scaffold_29	65.7837	22866	0.3225	100.0000	22866	4939	4937	0.3520	60	37.37
scaffold_30	57.9671	22853	0.3274	100.0000	22853	4419	4410	0.3412	58	28.06
scaffold_31	73.8649	22755	0.3272	100.0000	22755	5178	5190	0.3402	74	29.58
scaffold_32	54.1992	22651	0.3184	100.0000	22651	4086	4078	0.3365	54	30.98
scaffold_33	78.4473	22492	0.3411	100.0000	22492	5709	5759	0.3570	79	37.92
scaffold_34	58.2290	22460	0.3295	100.0000	22460	4360	4359	0.3437	54	30.43
scaffold_35	63.2719	22445	0.3345	100.0000	22445	4738	4722	0.3549	60	33.39
scaffold_36	73.7791	22240	0.3221	100.0000	22240	5456	5449	0.3385	75	36.49
scaffold_37	69.8409	22154	0.3294	100.0000	22154	5148	5138	0.3435	69	31.78
scaffold_38	81.4841	21545	0.3337	100.0000	21545	5834	5847	0.3505	81	42.89
scaffold_39	65.2836	21532	0.3310	100.0000	21532	4673	4697	0.3482	62	32.19
scaffold_40	60.4210	21532	0.3352	100.0000	21532	4336	4335	0.3500	58	29.72
scaffold_41	58.4763	21491	0.3165	100.0000	21491	4198	4182	0.3242	58	26.36
scaffold_42	60.8748	21486	0.3283	100.0000	21486	4368	4332	0.3478	59	31.80
