#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	76.9424	182516	0.3783	100.0000	182516	45925	45751	0.3876	78	21.88
scaffold_2	78.7631	181473	0.3789	100.0000	181473	46793	46791	0.3870	80	20.23
scaffold_3	82.2237	180395	0.3827	100.0000	180395	48884	48948	0.3880	80	71.88
scaffold_4	77.6696	176085	0.3806	100.0000	176085	45253	45297	0.3887	78	22.80
scaffold_5	77.9536	168629	0.3778	100.0000	168629	43141	43261	0.3857	79	20.11
scaffold_6	77.7034	168300	0.3814	100.0000	168300	43210	43229	0.3907	77	27.97
scaffold_7	75.4245	165200	0.3817	100.0000	165200	41285	41245	0.3901	77	20.69
scaffold_8	73.8171	162229	0.3797	100.0000	162229	39679	39762	0.3878	75	19.07
scaffold_9	78.1817	152368	0.3825	100.0000	152368	38991	38962	0.3906	80	22.57
scaffold_10	78.0923	149410	0.3815	100.0000	149410	38264	38311	0.3917	79	21.81
scaffold_11	82.2571	145870	0.3792	99.9692	145825	38574	38577	0.3877	81	47.12
scaffold_12	78.9209	145679	0.3774	100.0000	145679	38041	38042	0.3864	81	20.70
scaffold_13	76.7623	143918	0.3799	100.0000	143918	36313	36542	0.3882	78	20.99
scaffold_14	79.1565	140614	0.3761	100.0000	140614	36911	36734	0.3828	79	24.60
scaffold_15	81.3105	140517	0.3820	99.9979	140514	37636	37583	0.3901	83	20.37
scaffold_16	79.9391	140020	0.3831	100.0000	140020	36675	36732	0.3926	81	22.85
scaffold_17	90.7739	133934	0.3818	100.0000	133934	39539	39194	0.3965	81	115.09
scaffold_18	72.8297	133663	0.3752	100.0000	133663	32266	32244	0.3854	74	21.43
scaffold_19	82.5823	132428	0.3859	100.0000	132428	35951	35898	0.3958	82	38.07
scaffold_20	75.8663	131542	0.3787	100.0000	131542	32965	32962	0.3887	77	20.94
scaffold_21	78.0137	131317	0.3805	100.0000	131317	33755	33820	0.3895	79	25.36
scaffold_22	82.2699	130198	0.3788	100.0000	130198	34752	34410	0.3866	82	24.57
scaffold_23	75.5674	127167	0.3741	100.0000	127167	31487	31461	0.3839	77	22.91
scaffold_24	74.4249	126745	0.3788	100.0000	126745	31224	31317	0.3888	75	20.94
scaffold_25	91.5278	125157	0.3781	100.0000	125157	37621	37774	0.3930	79	130.53
scaffold_26	76.5282	121581	0.3762	99.9803	121557	30594	30561	0.3847	78	20.61
scaffold_27	71.4738	121255	0.3733	100.0000	121255	28903	28885	0.3826	74	21.81
scaffold_28	78.5757	120099	0.3814	100.0000	120099	31341	31358	0.3908	80	24.11
scaffold_29	83.9857	118309	0.3799	100.0000	118309	32328	32407	0.3828	81	79.51
scaffold_30	199.1946	116948	0.3832	100.0000	116948	42655	40866	0.4155	97	408.80
scaffold_31	78.6140	116682	0.3777	100.0000	116682	30297	30312	0.3863	80	20.22
scaffold_32	77.4199	116352	0.3796	100.0000	116352	29714	29693	0.3895	79	21.47
scaffold_33	77.7731	115884	0.3773	100.0000	115884	29846	29587	0.3851	80	19.88
scaffold_34	72.7250	114171	0.3753	100.0000	114171	27473	27484	0.3850	73	21.53
scaffold_35	80.1048	114159	0.3788	100.0000	114159	30246	30178	0.3861	80	21.86
scaffold_36	80.0494	113634	0.3842	100.0000	113634	29767	29633	0.3932	82	21.37
scaffold_37	77.5730	113111	0.3838	100.0000	113111	28895	28984	0.3905	79	18.96
scaffold_38	76.9138	112790	0.3797	99.9752	112762	28716	28750	0.3881	78	20.58
scaffold_39	75.7602	107047	0.3780	100.0000	107047	26686	26746	0.3878	77	21.82
scaffold_40	77.2085	106865	0.3801	100.0000	106865	27224	27239	0.3895	79	21.09
scaffold_41	76.5718	106551	0.3809	99.9418	106489	27023	26873	0.3906	79	20.97
scaffold_42	73.1353	105269	0.3740	100.0000	105269	25526	25566	0.3835	73	22.07
scaffold_43	77.1842	104703	0.3791	100.0000	104703	26782	26778	0.3879	79	21.58
scaffold_44	76.5217	102092	0.3837	100.0000	102092	25910	25924	0.3901	77	19.94
scaffold_45	77.6686	101914	0.3793	99.9598	101873	26076	25962	0.3865	79	20.00
scaffold_46	77.7978	101849	0.3779	100.0000	101849	26172	25914	0.3887	79	30.89
scaffold_47	76.1320	100809	0.3792	100.0000	100809	25236	25207	0.3887	78	20.70
scaffold_48	77.8610	100173	0.3818	100.0000	100173	25682	25663	0.3915	80	21.14
scaffold_49	76.9363	99524	0.3780	100.0000	99524	25370	25467	0.3878	78	21.63
scaffold_50	80.2081	96633	0.3801	100.0000	96633	25251	25285	0.3860	81	18.63
scaffold_51	79.7749	96332	0.3794	100.0000	96332	25355	25447	0.3873	79	24.07
scaffold_52	78.6994	94539	0.3826	100.0000	94539	24496	24440	0.3924	80	22.01
scaffold_53	82.2211	93679	0.3798	100.0000	93679	25419	25434	0.3873	84	20.54
scaffold_54	78.1968	93656	0.3794	100.0000	93656	24068	24137	0.3871	79	19.83
scaffold_55	76.8397	93562	0.3798	100.0000	93562	23851	23919	0.3896	78	22.36
scaffold_56	80.5042	93305	0.3866	100.0000	93305	24663	24818	0.3960	80	26.74
scaffold_57	77.7979	93089	0.3752	100.0000	93089	23686	23645	0.3831	79	22.20
scaffold_58	73.9284	92912	0.3803	100.0000	92912	22668	22631	0.3906	74	20.67
scaffold_59	79.9959	92793	0.3718	100.0000	92793	23340	23286	0.3810	79	36.66
scaffold_60	78.8771	91644	0.3777	100.0000	91644	23760	23577	0.3893	78	46.17
scaffold_61	75.4628	91497	0.3799	100.0000	91497	22888	22894	0.3899	78	21.33
scaffold_62	79.3094	91241	0.3768	100.0000	91241	23845	23758	0.3921	77	65.13
scaffold_63	79.7912	90218	0.3812	100.0000	90218	23869	23909	0.3880	80	19.08
scaffold_64	72.0152	89199	0.3794	100.0000	89199	21233	21239	0.3890	72	20.69
scaffold_65	79.0650	87429	0.3855	100.0000	87429	22556	22481	0.3945	81	20.86
scaffold_66	78.6109	87270	0.3729	100.0000	87270	22218	22278	0.3806	81	19.85
