#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	82.4564	130013	0.3518	100.0000	130013	35378	35434	0.3680	82	36.65
scaffold_2	80.7004	122481	0.3513	100.0000	122481	32741	32951	0.3657	82	34.32
scaffold_3	100.9001	121862	0.3564	100.0000	121862	40865	41166	0.3855	82	392.32
scaffold_4	77.3104	111345	0.3457	100.0000	111345	28513	28594	0.3628	74	67.76
scaffold_5	83.3252	109893	0.3534	100.0000	109893	30437	30437	0.3672	84	34.42
scaffold_6	84.3536	107914	0.3551	100.0000	107914	29721	29772	0.3719	84	37.36
scaffold_7	76.5283	100890	0.3500	100.0000	100890	25565	25686	0.3683	75	38.02
scaffold_8	77.7416	100549	0.3511	100.0000	100549	25866	25943	0.3682	77	35.29
scaffold_9	76.3077	97558	0.3453	100.0000	97558	24648	24698	0.3623	75	34.96
scaffold_10	84.1534	94816	0.3553	100.0000	94816	26362	26329	0.3709	83	35.39
scaffold_11	77.8567	93726	0.3489	100.0000	93726	24229	24320	0.3654	77	33.96
scaffold_12	79.9404	92437	0.3520	100.0000	92437	24421	24456	0.3684	80	35.05
scaffold_13	82.7041	90261	0.3516	100.0000	90261	24527	24473	0.3616	84	28.76
scaffold_14	76.3213	89779	0.3474	100.0000	89779	22822	22797	0.3591	77	29.87
scaffold_15	78.6615	88792	0.3520	100.0000	88792	23271	23287	0.3673	75	35.77
scaffold_16	79.1312	85959	0.3493	100.0000	85959	22406	22451	0.3661	80	35.04
scaffold_17	79.4968	84471	0.3481	100.0000	84471	22031	22008	0.3657	78	35.14
scaffold_18	81.6584	83881	0.3513	100.0000	83881	22833	22817	0.3644	83	32.68
scaffold_19	79.3720	81492	0.3482	100.0000	81492	21586	21525	0.3651	76	38.14
scaffold_20	74.6929	80712	0.3509	99.9888	80703	20051	20075	0.3652	77	30.60
scaffold_21	82.8674	79658	0.3579	100.0000	79658	21790	21850	0.3722	83	35.28
scaffold_22	86.7005	77592	0.3506	100.0000	77592	21153	21158	0.3671	82	41.19
scaffold_23	79.3181	76984	0.3478	100.0000	76984	20046	20046	0.3617	78	32.96
scaffold_24	85.0112	76913	0.3535	100.0000	76913	21314	21386	0.3663	88	32.38
scaffold_25	83.8450	76489	0.3522	100.0000	76489	21252	21163	0.3694	83	36.89
scaffold_26	93.2863	76187	0.3681	100.0000	76187	23535	23484	0.3794	95	34.34
scaffold_27	79.8270	74789	0.3526	100.0000	74789	19755	19828	0.3667	79	34.60
scaffold_28	77.5030	74275	0.3516	100.0000	74275	18958	18941	0.3668	78	32.63
scaffold_29	90.2621	72650	0.3573	100.0000	72650	21548	21441	0.3697	86	47.05
scaffold_30	78.9486	72126	0.3489	100.0000	72126	18568	18655	0.3658	81	35.20
scaffold_31	96.1332	72023	0.3629	100.0000	72023	23006	22997	0.3793	93	41.53
scaffold_32	80.1719	71931	0.3479	100.0000	71931	19210	19201	0.3596	80	31.71
scaffold_33	83.8862	71167	0.3535	100.0000	71167	19828	19777	0.3722	82	38.96
scaffold_34	71.8300	70180	0.3470	100.0000	70180	16686	16738	0.3591	70	27.51
scaffold_35	77.4780	70005	0.3523	100.0000	70005	17991	17933	0.3656	77	32.73
scaffold_36	74.4821	69900	0.3458	100.0000	69900	17250	17180	0.3683	71	38.70
scaffold_37	85.0313	69553	0.3544	100.0000	69553	19653	19572	0.3710	85	36.64
scaffold_38	71.6784	68875	0.3444	100.0000	68875	16289	16208	0.3592	71	31.37
scaffold_39	89.3565	68121	0.3608	100.0000	68121	20204	20249	0.3755	88	35.68
scaffold_40	84.1120	67194	0.3560	100.0000	67194	18732	18732	0.3698	85	35.28
scaffold_41	80.2873	66695	0.3490	100.0000	66695	17768	17740	0.3620	81	32.49
scaffold_42	91.5927	66594	0.3418	100.0000	66594	18841	21870	0.3739	69	336.01
scaffold_43	79.1605	66413	0.3494	100.0000	66413	17382	17431	0.3644	79	33.60
scaffold_44	91.5082	65837	0.3612	100.0000	65837	19923	19964	0.3765	92	37.58
scaffold_45	82.8698	65708	0.3509	100.0000	65708	18130	18172	0.3666	81	44.05
scaffold_46	73.5772	65253	0.3421	100.0000	65253	15897	15902	0.3583	71	35.00
scaffold_47	79.8930	64865	0.3496	100.0000	64865	17196	17219	0.3633	79	33.33
scaffold_48	86.9898	64588	0.3596	100.0000	64588	18530	18521	0.3743	88	37.57
scaffold_49	86.1963	64427	0.3549	100.0000	64427	18290	18228	0.3740	83	39.89
scaffold_50	82.7430	64361	0.3515	99.9565	64333	17538	17639	0.3608	82	29.67
scaffold_51	82.4456	64149	0.3514	100.0000	64149	17604	17654	0.3677	81	36.84
scaffold_52	86.2896	63941	0.3590	100.0000	63941	18266	18282	0.3730	87	34.13
scaffold_53	80.6931	63773	0.3561	100.0000	63773	17167	17145	0.3746	80	36.02
scaffold_54	77.3218	63298	0.3458	100.0000	63298	16189	16219	0.3589	79	30.38
scaffold_55	74.6387	63201	0.3484	100.0000	63201	15502	15475	0.3637	73	32.34
scaffold_56	75.8140	63034	0.3459	100.0000	63034	15838	15886	0.3664	73	36.39
scaffold_57	77.5486	62966	0.3503	100.0000	62966	16260	16276	0.3664	77	35.02
scaffold_58	80.5089	62898	0.3491	100.0000	62898	16605	16677	0.3670	80	36.13
scaffold_59	84.2705	62884	0.3535	100.0000	62884	17171	17256	0.3676	86	34.10
scaffold_60	77.3585	62734	0.3519	100.0000	62734	16130	16219	0.3680	77	34.49
scaffold_61	83.4846	61982	0.3546	99.9935	61978	17211	17232	0.3672	86	32.30
scaffold_62	87.4081	61869	0.3558	100.0000	61869	17846	17766	0.3668	89	31.94
scaffold_63	86.1882	61726	0.3545	100.0000	61726	17658	17692	0.3700	88	36.61
scaffold_64	94.3407	61545	0.3602	100.0000	61545	19344	19295	0.3732	98	36.35
scaffold_65	82.2106	61123	0.3513	100.0000	61123	16518	16523	0.3623	84	30.27
