ID,status,superkingdom,phylum,class,order,family,genus,species,strain
NODE_1_length_77462_cov_39.861071,found,Eukaryota,Mucoromycota,unassigned,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,
NODE_2_length_75045_cov_37.004815,found,Eukaryota,Mucoromycota,unassigned,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,
NODE_3_length_68700_cov_36.336709,found,Eukaryota,Mucoromycota,unassigned,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,
NODE_4_length_66079_cov_35.630606,nomatch,,,,,,,,
NODE_5_length_62943_cov_36.622896,nomatch,,,,,,,,
NODE_6_length_60726_cov_36.302445,nomatch,,,,,,,,
NODE_7_length_59547_cov_32.741769,nomatch,,,,,,,,
NODE_8_length_58022_cov_35.546846,found,Eukaryota,Mucoromycota,unassigned,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,
NODE_9_length_52622_cov_33.912665,nomatch,,,,,,,,
NODE_10_length_52561_cov_35.236682,nomatch,,,,,,,,
NODE_11_length_50590_cov_36.618732,found,Eukaryota,Mucoromycota,unassigned,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,
NODE_12_length_50153_cov_36.478133,nomatch,,,,,,,,
NODE_13_length_49412_cov_34.913753,found,Eukaryota,Mucoromycota,unassigned,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,
NODE_14_length_48629_cov_33.542848,nomatch,,,,,,,,
NODE_15_length_48603_cov_35.473416,nomatch,,,,,,,,
NODE_16_length_48220_cov_35.131525,nomatch,,,,,,,,
NODE_17_length_46623_cov_36.367314,nomatch,,,,,,,,
NODE_18_length_46034_cov_35.607851,found,Eukaryota,Mucoromycota,unassigned,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,
NODE_19_length_45775_cov_42.606241,nomatch,,,,,,,,
NODE_20_length_44885_cov_35.417001,nomatch,,,,,,,,
NODE_21_length_44438_cov_33.551092,nomatch,,,,,,,,
NODE_22_length_44090_cov_37.514575,nomatch,,,,,,,,
NODE_23_length_43360_cov_37.029134,nomatch,,,,,,,,
NODE_24_length_42861_cov_34.969127,nomatch,,,,,,,,
NODE_25_length_42830_cov_35.997029,nomatch,,,,,,,,
