ID,status,superkingdom,phylum,class,order,family,genus,species,strain
NODE_1_length_57916_cov_41.390809,nomatch,,,,,,,,
NODE_2_length_54850_cov_33.524145,nomatch,,,,,,,,
NODE_3_length_53824_cov_39.210337,nomatch,,,,,,,,
NODE_4_length_52257_cov_34.775508,nomatch,,,,,,,,
NODE_5_length_49537_cov_34.558411,nomatch,,,,,,,,
NODE_6_length_47169_cov_34.656014,nomatch,,,,,,,,
NODE_7_length_46071_cov_36.003913,nomatch,,,,,,,,
NODE_8_length_45691_cov_37.048757,nomatch,,,,,,,,
NODE_9_length_44671_cov_38.432928,nomatch,,,,,,,,
NODE_10_length_44149_cov_36.498843,nomatch,,,,,,,,
NODE_11_length_44057_cov_40.975830,nomatch,,,,,,,,
NODE_12_length_42543_cov_36.111925,nomatch,,,,,,,,
NODE_13_length_42233_cov_35.038429,nomatch,,,,,,,,
NODE_14_length_41847_cov_37.978765,nomatch,,,,,,,,
NODE_15_length_41614_cov_34.587669,nomatch,,,,,,,,
NODE_16_length_40577_cov_40.557111,nomatch,,,,,,,,
NODE_17_length_39405_cov_35.494406,nomatch,,,,,,,,
NODE_18_length_39364_cov_36.211877,nomatch,,,,,,,,
NODE_19_length_38995_cov_36.062336,nomatch,,,,,,,,
NODE_20_length_38120_cov_35.363089,nomatch,,,,,,,,
NODE_21_length_37820_cov_35.986196,nomatch,,,,,,,,
NODE_22_length_36076_cov_34.569738,nomatch,,,,,,,,
NODE_23_length_36025_cov_34.106654,nomatch,,,,,,,,
NODE_24_length_35947_cov_37.903513,nomatch,,,,,,,,
NODE_25_length_35902_cov_36.516315,nomatch,,,,,,,,
NODE_26_length_35552_cov_35.801917,nomatch,,,,,,,,
NODE_27_length_35063_cov_37.930315,nomatch,,,,,,,,
NODE_28_length_34628_cov_30.742062,nomatch,,,,,,,,
NODE_29_length_34520_cov_36.885618,nomatch,,,,,,,,
NODE_30_length_34359_cov_39.750481,nomatch,,,,,,,,
