ID,status,superkingdom,phylum,class,order,family,genus,species,strain
NODE_1_length_93350_cov_37.843728,nomatch,,,,,,,,
NODE_2_length_82401_cov_52.205580,nomatch,,,,,,,,
NODE_3_length_77220_cov_37.760873,nomatch,,,,,,,,
NODE_4_length_71344_cov_35.679838,nomatch,,,,,,,,
NODE_5_length_70135_cov_34.221559,nomatch,,,,,,,,
NODE_6_length_67971_cov_41.673138,nomatch,,,,,,,,
NODE_7_length_65450_cov_34.581533,nomatch,,,,,,,,
NODE_8_length_63208_cov_38.163961,nomatch,,,,,,,,
NODE_9_length_62837_cov_36.064117,nomatch,,,,,,,,
NODE_10_length_61941_cov_35.034107,nomatch,,,,,,,,
NODE_11_length_60529_cov_36.780107,nomatch,,,,,,,,
NODE_12_length_59730_cov_35.884633,nomatch,,,,,,,,
NODE_13_length_59668_cov_33.535030,nomatch,,,,,,,,
NODE_14_length_59541_cov_33.476389,nomatch,,,,,,,,
NODE_15_length_59370_cov_36.326801,nomatch,,,,,,,,
NODE_16_length_59292_cov_33.499324,nomatch,,,,,,,,
NODE_17_length_58816_cov_39.265479,nomatch,,,,,,,,
NODE_18_length_58430_cov_37.024575,nomatch,,,,,,,,
NODE_19_length_58289_cov_31.017831,nomatch,,,,,,,,
NODE_20_length_57238_cov_42.417243,nomatch,,,,,,,,
NODE_21_length_56410_cov_35.835372,nomatch,,,,,,,,
NODE_22_length_56408_cov_42.841100,nomatch,,,,,,,,
NODE_23_length_55912_cov_36.998567,nomatch,,,,,,,,
NODE_24_length_55830_cov_40.690115,nomatch,,,,,,,,
NODE_25_length_55652_cov_36.033630,nomatch,,,,,,,,
NODE_26_length_55557_cov_34.853605,nomatch,,,,,,,,
NODE_27_length_55014_cov_38.067404,nomatch,,,,,,,,
NODE_28_length_54918_cov_33.565927,nomatch,,,,,,,,
NODE_29_length_54722_cov_31.549950,nomatch,,,,,,,,
NODE_30_length_54475_cov_36.168701,nomatch,,,,,,,,
NODE_31_length_54140_cov_36.473762,nomatch,,,,,,,,
NODE_32_length_53836_cov_33.732380,nomatch,,,,,,,,
NODE_33_length_53637_cov_36.142345,nomatch,,,,,,,,
NODE_34_length_53507_cov_37.237750,nomatch,,,,,,,,
NODE_35_length_51981_cov_32.391858,nomatch,,,,,,,,
NODE_36_length_51842_cov_35.339167,nomatch,,,,,,,,
NODE_37_length_51392_cov_39.865225,nomatch,,,,,,,,
NODE_38_length_51024_cov_38.355919,nomatch,,,,,,,,
NODE_39_length_50841_cov_39.025727,nomatch,,,,,,,,
NODE_40_length_50515_cov_36.570364,nomatch,,,,,,,,
NODE_41_length_50056_cov_34.778847,nomatch,,,,,,,,
NODE_42_length_49576_cov_37.787895,nomatch,,,,,,,,
NODE_43_length_49467_cov_33.427374,nomatch,,,,,,,,
NODE_44_length_49450_cov_36.372390,nomatch,,,,,,,,
NODE_45_length_49381_cov_33.106442,nomatch,,,,,,,,
NODE_46_length_47907_cov_34.538720,nomatch,,,,,,,,
NODE_47_length_47675_cov_36.445964,nomatch,,,,,,,,
NODE_48_length_47424_cov_37.165649,nomatch,,,,,,,,
NODE_49_length_46545_cov_32.402298,nomatch,,,,,,,,
NODE_50_length_46263_cov_36.339497,nomatch,,,,,,,,
NODE_51_length_46145_cov_36.431710,nomatch,,,,,,,,
NODE_52_length_46094_cov_35.707977,nomatch,,,,,,,,
NODE_53_length_46004_cov_35.241383,nomatch,,,,,,,,
NODE_54_length_45917_cov_33.399367,nomatch,,,,,,,,
NODE_55_length_45474_cov_33.219288,nomatch,,,,,,,,
NODE_56_length_45320_cov_32.092766,nomatch,,,,,,,,
NODE_57_length_45006_cov_36.293419,nomatch,,,,,,,,
NODE_58_length_44976_cov_40.777746,nomatch,,,,,,,,
NODE_59_length_44919_cov_31.986887,nomatch,,,,,,,,
NODE_60_length_44829_cov_33.674651,nomatch,,,,,,,,
NODE_61_length_44632_cov_36.475008,nomatch,,,,,,,,
NODE_62_length_44326_cov_39.666637,nomatch,,,,,,,,
NODE_63_length_43995_cov_35.449884,nomatch,,,,,,,,
NODE_64_length_43982_cov_36.929644,nomatch,,,,,,,,
NODE_65_length_43828_cov_37.517611,nomatch,,,,,,,,
NODE_66_length_43163_cov_35.486747,nomatch,,,,,,,,
NODE_67_length_43009_cov_33.900797,nomatch,,,,,,,,
NODE_68_length_42722_cov_30.604901,nomatch,,,,,,,,
NODE_69_length_42532_cov_32.893770,nomatch,,,,,,,,
NODE_70_length_42388_cov_37.286072,nomatch,,,,,,,,
NODE_71_length_42387_cov_36.246230,nomatch,,,,,,,,
NODE_72_length_42275_cov_32.784231,nomatch,,,,,,,,
NODE_73_length_41855_cov_32.663746,nomatch,,,,,,,,
NODE_74_length_41808_cov_34.413458,nomatch,,,,,,,,
NODE_75_length_41720_cov_35.267704,nomatch,,,,,,,,
NODE_76_length_41576_cov_34.376780,nomatch,,,,,,,,
NODE_77_length_40947_cov_33.577269,nomatch,,,,,,,,
NODE_78_length_40934_cov_34.902587,nomatch,,,,,,,,
NODE_79_length_40890_cov_37.846348,nomatch,,,,,,,,
NODE_80_length_40697_cov_36.380182,nomatch,,,,,,,,
NODE_81_length_40588_cov_29.662832,nomatch,,,,,,,,
NODE_82_length_40578_cov_38.425189,nomatch,,,,,,,,
NODE_83_length_40528_cov_31.159081,nomatch,,,,,,,,
NODE_84_length_40499_cov_38.460541,nomatch,,,,,,,,
NODE_85_length_40296_cov_42.659315,nomatch,,,,,,,,
NODE_86_length_40139_cov_32.976112,nomatch,,,,,,,,
NODE_87_length_39882_cov_35.365758,nomatch,,,,,,,,
NODE_88_length_39880_cov_30.146823,nomatch,,,,,,,,
NODE_89_length_39865_cov_35.712451,nomatch,,,,,,,,
NODE_90_length_39808_cov_33.040246,nomatch,,,,,,,,
NODE_91_length_39794_cov_36.088426,nomatch,,,,,,,,
NODE_92_length_39750_cov_34.585789,nomatch,,,,,,,,
